'roomId','checkIn','checkOut','adults','children','infants'
1,'2019-2-12','2019-2-23',3,0,0'
2,'2019-3-11','2019-3-28',3,2,0'
3,'2019-4-10','2019-4-26',2,0,1'
4,'2019-5-12','2019-5-24',2,2,0'
5,'2019-6-5','2019-6-20',2,3,0'
6,'2019-7-13','2019-7-19',4,4,0'
7,'2019-8-9','2019-8-23',4,3,1'
8,'2019-9-13','2019-9-15',4,1,2'
9,'2019-10-10','2019-10-22',3,0,0'
10,'2019-11-14','2019-11-20',3,2,0'
11,'2019-12-10','2019-12-23',3,2,0'
12,'2019-1-2','2019-1-24',4,4,0'
13,'2019-2-7','2019-2-23',1,1,2'
14,'2019-3-6','2019-3-17',2,4,1'
15,'2019-4-12','2019-4-21',1,3,2'
16,'2019-5-11','2019-5-22',4,3,1'
17,'2019-6-13','2019-6-16',1,4,1'
18,'2019-7-4','2019-7-18',2,4,0'
19,'2019-8-9','2019-8-22',4,0,1'
20,'2019-9-10','2019-9-23',4,1,2'
21,'2019-10-11','2019-10-21',4,0,0'
22,'2019-11-5','2019-11-15',3,1,0'
23,'2019-12-1','2019-12-24',2,4,1'
24,'2019-1-5','2019-1-23',2,1,2'
25,'2019-2-6','2019-2-21',4,0,0'
26,'2019-3-7','2019-3-27',2,2,1'
27,'2019-4-10','2019-4-17',4,4,1'
28,'2019-5-13','2019-5-24',2,1,2'
29,'2019-6-11','2019-6-27',4,4,0'
30,'2019-7-8','2019-7-17',4,2,2'
31,'2019-8-13','2019-8-24',3,2,1'
32,'2019-9-3','2019-9-19',2,3,2'
33,'2019-10-14','2019-10-24',2,4,2'
34,'2019-11-6','2019-11-17',3,2,1'
35,'2019-12-7','2019-12-23',3,1,0'
36,'2019-1-13','2019-1-21',1,1,0'
37,'2019-2-10','2019-2-22',3,2,1'
38,'2019-3-5','2019-3-24',2,3,1'
39,'2019-4-11','2019-4-15',3,4,0'
40,'2019-5-8','2019-5-22',4,0,0'
41,'2019-6-1','2019-6-17',1,3,0'
42,'2019-7-14','2019-7-22',2,4,2'
43,'2019-8-8','2019-8-21',2,1,2'
44,'2019-9-1','2019-9-26',3,2,0'
45,'2019-10-2','2019-10-21',2,3,0'
46,'2019-11-7','2019-11-17',2,3,1'
47,'2019-12-12','2019-12-22',3,3,2'
48,'2019-1-3','2019-1-20',1,1,1'
49,'2019-2-3','2019-2-24',1,2,0'
50,'2019-3-1','2019-3-25',3,3,0'
51,'2019-4-8','2019-4-27',4,1,2'
52,'2019-5-12','2019-5-24',3,2,2'
53,'2019-6-11','2019-6-26',1,2,2'
54,'2019-7-13','2019-7-27',2,3,0'
55,'2019-8-12','2019-8-25',1,1,0'
56,'2019-9-9','2019-9-28',1,0,0'
57,'2019-10-8','2019-10-15',4,3,0'
58,'2019-11-7','2019-11-24',1,0,0'
59,'2019-12-14','2019-12-19',4,2,1'
60,'2019-1-1','2019-1-25',2,2,1'
61,'2019-2-1','2019-2-21',4,0,0'
62,'2019-3-12','2019-3-20',2,3,2'
63,'2019-4-3','2019-4-19',1,1,2'
64,'2019-5-12','2019-5-22',3,4,1'
65,'2019-6-5','2019-6-18',4,3,2'
66,'2019-7-11','2019-7-27',1,4,1'
67,'2019-8-7','2019-8-28',3,1,0'
68,'2019-9-2','2019-9-26',3,3,0'
69,'2019-10-4','2019-10-25',3,3,0'
70,'2019-11-3','2019-11-24',4,0,1'
71,'2019-12-10','2019-12-23',1,1,2'
72,'2019-1-6','2019-1-18',3,2,1'
73,'2019-2-4','2019-2-27',2,4,1'
74,'2019-3-2','2019-3-24',3,1,0'
75,'2019-4-7','2019-4-15',4,2,1'
76,'2019-5-12','2019-5-16',3,0,0'
77,'2019-6-7','2019-6-20',3,4,0'
78,'2019-7-9','2019-7-26',1,4,2'
79,'2019-8-5','2019-8-17',2,4,2'
80,'2019-9-9','2019-9-15',2,2,2'
81,'2019-10-3','2019-10-16',1,1,2'
82,'2019-11-8','2019-11-19',2,1,1'
83,'2019-12-2','2019-12-20',3,1,0'
84,'2019-1-9','2019-1-18',3,1,0'
85,'2019-2-10','2019-2-22',4,4,1'
86,'2019-3-3','2019-3-27',2,3,0'
87,'2019-4-5','2019-4-22',2,1,0'
88,'2019-5-4','2019-5-28',2,2,2'
89,'2019-6-3','2019-6-15',1,4,2'
90,'2019-7-3','2019-7-27',3,1,1'
91,'2019-8-6','2019-8-15',2,1,0'
92,'2019-9-4','2019-9-17',3,3,2'
93,'2019-10-9','2019-10-15',1,4,0'
94,'2019-11-5','2019-11-23',2,2,2'
95,'2019-12-9','2019-12-18',2,3,1'
96,'2019-1-7','2019-1-19',2,0,0'
97,'2019-2-5','2019-2-21',4,3,0'
98,'2019-3-12','2019-3-16',4,2,0'
99,'2019-4-10','2019-4-16',3,1,1'
100,'2019-5-1','2019-5-15',2,4,2'
101,'2019-6-14','2019-6-18',4,0,0'
102,'2019-7-5','2019-7-28',2,1,2'
103,'2019-8-3','2019-8-18',3,3,1'
104,'2019-9-12','2019-9-22',1,0,0'
105,'2019-10-6','2019-10-21',3,1,1'
106,'2019-11-6','2019-11-23',2,3,2'
107,'2019-12-10','2019-12-22',1,1,0'
108,'2019-1-8','2019-1-26',2,3,1'
109,'2019-2-10','2019-2-17',4,2,1'
110,'2019-3-7','2019-3-19',4,2,0'
111,'2019-4-14','2019-4-17',4,4,0'
112,'2019-5-5','2019-5-23',4,0,0'
113,'2019-6-13','2019-6-21',1,0,2'
114,'2019-7-6','2019-7-23',4,2,2'
115,'2019-8-2','2019-8-28',4,0,2'
116,'2019-9-7','2019-9-19',4,2,1'
117,'2019-10-4','2019-10-18',4,1,1'
118,'2019-11-10','2019-11-28',2,3,2'
119,'2019-12-3','2019-12-16',4,0,2'
120,'2019-1-2','2019-1-26',3,4,2'
121,'2019-2-12','2019-2-20',2,1,1'
122,'2019-3-8','2019-3-27',3,3,1'
123,'2019-4-14','2019-4-20',1,3,0'
124,'2019-5-10','2019-5-20',4,3,0'
125,'2019-6-1','2019-6-17',3,4,2'
126,'2019-7-2','2019-7-21',1,0,1'
127,'2019-8-12','2019-8-21',3,2,0'
128,'2019-9-10','2019-9-15',3,2,1'
129,'2019-10-11','2019-10-15',2,4,2'
130,'2019-11-14','2019-11-21',1,2,1'
131,'2019-12-13','2019-12-19',1,4,0'
132,'2019-1-6','2019-1-15',3,3,2'
133,'2019-2-3','2019-2-20',4,3,2'
134,'2019-3-5','2019-3-18',4,4,1'
135,'2019-4-12','2019-4-23',4,3,1'
136,'2019-5-14','2019-5-18',2,4,2'
137,'2019-6-5','2019-6-22',2,4,1'
138,'2019-7-7','2019-7-20',2,4,0'
139,'2019-8-13','2019-8-16',3,2,2'
140,'2019-9-6','2019-9-15',2,1,1'
141,'2019-10-14','2019-10-27',3,4,0'
142,'2019-11-7','2019-11-22',1,2,0'
143,'2019-12-11','2019-12-27',3,2,1'
144,'2019-1-6','2019-1-20',4,3,2'
145,'2019-2-3','2019-2-17',1,3,2'
146,'2019-3-9','2019-3-23',2,3,2'
147,'2019-4-8','2019-4-23',2,2,1'
148,'2019-5-7','2019-5-28',3,0,1'
149,'2019-6-2','2019-6-24',1,3,1'
150,'2019-7-11','2019-7-15',4,3,0'
151,'2019-8-6','2019-8-27',1,0,0'
152,'2019-9-11','2019-9-20',4,0,2'
153,'2019-10-4','2019-10-16',1,2,1'
154,'2019-11-5','2019-11-19',4,3,1'
155,'2019-12-8','2019-12-21',2,1,0'
156,'2019-1-11','2019-1-20',2,1,1'
157,'2019-2-5','2019-2-27',1,3,0'
158,'2019-3-10','2019-3-28',2,2,0'
159,'2019-4-8','2019-4-19',3,4,2'
160,'2019-5-7','2019-5-23',4,1,0'
161,'2019-6-14','2019-6-16',3,0,0'
162,'2019-7-14','2019-7-23',4,3,2'
163,'2019-8-7','2019-8-26',3,4,1'
164,'2019-9-6','2019-9-26',2,3,1'
165,'2019-10-7','2019-10-26',2,3,0'
166,'2019-11-5','2019-11-20',4,3,0'
167,'2019-12-7','2019-12-19',3,0,1'
168,'2019-1-8','2019-1-23',4,0,2'
169,'2019-2-4','2019-2-17',3,1,2'
170,'2019-3-7','2019-3-26',1,4,2'
171,'2019-4-14','2019-4-19',4,2,1'
172,'2019-5-4','2019-5-21',1,2,1'
173,'2019-6-13','2019-6-16',4,2,0'
174,'2019-7-1','2019-7-28',2,3,0'
175,'2019-8-4','2019-8-22',1,0,1'
176,'2019-9-14','2019-9-24',3,0,2'
177,'2019-10-13','2019-10-23',3,2,1'
178,'2019-11-8','2019-11-22',4,1,2'
179,'2019-12-3','2019-12-20',3,3,1'
180,'2019-1-6','2019-1-25',2,1,0'
181,'2019-2-6','2019-2-15',4,0,2'
182,'2019-3-9','2019-3-16',3,3,0'
183,'2019-4-14','2019-4-17',4,4,2'
184,'2019-5-1','2019-5-19',3,1,1'
185,'2019-6-6','2019-6-21',2,2,2'
186,'2019-7-11','2019-7-24',2,4,1'
187,'2019-8-12','2019-8-20',1,1,1'
188,'2019-9-2','2019-9-25',1,2,2'
189,'2019-10-5','2019-10-19',2,2,0'
190,'2019-11-10','2019-11-22',1,3,1'
191,'2019-12-9','2019-12-26',4,1,0'
192,'2019-1-2','2019-1-19',2,4,0'
193,'2019-2-11','2019-2-28',2,0,1'
194,'2019-3-10','2019-3-18',2,1,2'
195,'2019-4-7','2019-4-25',2,0,2'
196,'2019-5-7','2019-5-22',1,2,0'
197,'2019-6-6','2019-6-16',1,0,1'
198,'2019-7-11','2019-7-24',2,1,0'
199,'2019-8-4','2019-8-18',2,4,1'
200,'2019-9-3','2019-9-27',2,3,1'
201,'2019-10-7','2019-10-17',1,3,0'
202,'2019-11-14','2019-11-16',2,2,1'
203,'2019-12-12','2019-12-18',4,4,0'
204,'2019-1-13','2019-1-28',3,4,1'
205,'2019-2-5','2019-2-16',4,0,1'
206,'2019-3-1','2019-3-15',1,3,2'
207,'2019-4-3','2019-4-19',3,2,1'
208,'2019-5-2','2019-5-21',4,2,0'
209,'2019-6-1','2019-6-22',1,4,0'
210,'2019-7-5','2019-7-20',1,4,2'
211,'2019-8-10','2019-8-18',3,3,2'
212,'2019-9-10','2019-9-25',3,4,1'
213,'2019-10-5','2019-10-25',1,4,0'
214,'2019-11-4','2019-11-18',1,2,2'
