70154,'2019-3-3','2019-3-26',1,2,2'
70155,'2019-4-13','2019-4-16',3,4,1'
70156,'2019-5-4','2019-5-24',4,4,0'
70157,'2019-6-10','2019-6-27',2,4,2'
70158,'2019-7-13','2019-7-17',3,2,1'
70159,'2019-8-5','2019-8-16',3,0,0'
70160,'2019-9-6','2019-9-21',2,0,2'
70161,'2019-10-13','2019-10-22',1,4,1'
70162,'2019-11-2','2019-11-18',4,0,0'
70163,'2019-12-9','2019-12-24',1,4,2'
70164,'2019-1-12','2019-1-22',1,0,0'
70165,'2019-2-10','2019-2-22',3,3,1'
70166,'2019-3-4','2019-3-28',2,4,1'
70167,'2019-4-2','2019-4-17',3,0,2'
70168,'2019-5-6','2019-5-17',3,3,1'
70169,'2019-6-9','2019-6-21',3,0,0'
70170,'2019-7-3','2019-7-25',2,1,1'
70171,'2019-8-10','2019-8-19',3,1,2'
70172,'2019-9-6','2019-9-24',1,2,2'
70173,'2019-10-13','2019-10-22',2,1,0'
70174,'2019-11-4','2019-11-28',2,4,2'
70175,'2019-12-4','2019-12-16',2,2,0'
70176,'2019-1-11','2019-1-18',1,3,1'
70177,'2019-2-1','2019-2-26',1,4,0'
70178,'2019-3-10','2019-3-28',1,3,0'
70179,'2019-4-4','2019-4-17',4,3,2'
70180,'2019-5-9','2019-5-15',1,1,0'
70181,'2019-6-10','2019-6-24',3,2,0'
70182,'2019-7-7','2019-7-19',2,4,1'
70183,'2019-8-6','2019-8-15',3,1,0'
70184,'2019-9-9','2019-9-17',1,1,1'
70185,'2019-10-5','2019-10-26',3,2,1'
70186,'2019-11-14','2019-11-21',2,4,2'
70187,'2019-12-11','2019-12-18',4,1,0'
70188,'2019-1-14','2019-1-20',2,4,2'
70189,'2019-2-6','2019-2-16',3,4,2'
70190,'2019-3-9','2019-3-19',3,2,0'
70191,'2019-4-6','2019-4-15',3,1,2'
70192,'2019-5-8','2019-5-23',4,1,0'
70193,'2019-6-2','2019-6-15',2,2,2'
70194,'2019-7-3','2019-7-21',2,2,1'
70195,'2019-8-4','2019-8-17',3,3,2'
70196,'2019-9-14','2019-9-24',2,2,0'
70197,'2019-10-10','2019-10-21',2,0,1'
70198,'2019-11-13','2019-11-16',1,0,0'
70199,'2019-12-2','2019-12-16',3,2,1'
70200,'2019-1-12','2019-1-21',3,2,0'
70201,'2019-2-5','2019-2-22',3,4,2'
70202,'2019-3-4','2019-3-23',2,0,1'
70203,'2019-4-1','2019-4-20',2,2,1'
70204,'2019-5-10','2019-5-28',3,0,1'
70205,'2019-6-9','2019-6-24',4,1,1'
70206,'2019-7-1','2019-7-16',2,1,1'
70207,'2019-8-7','2019-8-28',2,2,1'
70208,'2019-9-9','2019-9-21',2,3,0'
70209,'2019-10-11','2019-10-21',2,0,1'
70210,'2019-11-4','2019-11-21',2,2,0'
70211,'2019-12-14','2019-12-19',4,1,0'
70212,'2019-1-10','2019-1-18',4,1,0'
70213,'2019-2-1','2019-2-18',3,0,1'
70214,'2019-3-3','2019-3-17',1,2,2'
70215,'2019-4-6','2019-4-19',1,0,1'
70216,'2019-5-8','2019-5-23',3,1,0'
70217,'2019-6-4','2019-6-23',2,1,1'
70218,'2019-7-2','2019-7-18',2,2,0'
70219,'2019-8-8','2019-8-17',2,3,0'
70220,'2019-9-13','2019-9-18',4,1,0'
70221,'2019-10-4','2019-10-16',2,2,0'
70222,'2019-11-12','2019-11-24',1,1,2'
70223,'2019-12-10','2019-12-25',1,1,0'
70224,'2019-1-2','2019-1-16',3,0,1'
70225,'2019-2-7','2019-2-28',2,2,2'
70226,'2019-3-13','2019-3-20',3,4,0'
70227,'2019-4-5','2019-4-15',4,3,1'
70228,'2019-5-14','2019-5-28',3,0,1'
70229,'2019-6-14','2019-6-19',4,4,2'
70230,'2019-7-9','2019-7-21',3,1,0'
70231,'2019-8-6','2019-8-25',4,2,2'
70232,'2019-9-13','2019-9-24',3,3,0'
70233,'2019-10-1','2019-10-15',4,0,0'
70234,'2019-11-5','2019-11-19',2,2,0'
70235,'2019-12-14','2019-12-27',4,0,1'
70236,'2019-1-4','2019-1-27',4,3,1'
70237,'2019-2-5','2019-2-20',3,0,2'
70238,'2019-3-4','2019-3-19',2,2,0'
70239,'2019-4-9','2019-4-26',4,4,2'
70240,'2019-5-12','2019-5-17',4,4,1'
70241,'2019-6-2','2019-6-24',4,0,0'
70242,'2019-7-12','2019-7-26',1,1,0'
70243,'2019-8-12','2019-8-25',2,0,0'
70244,'2019-9-11','2019-9-18',2,3,1'
70245,'2019-10-12','2019-10-22',2,1,2'
70246,'2019-11-12','2019-11-20',2,3,1'
70247,'2019-12-13','2019-12-17',2,2,1'
70248,'2019-1-12','2019-1-15',2,3,0'
70249,'2019-2-2','2019-2-16',4,2,2'
70250,'2019-3-2','2019-3-24',4,3,0'
70251,'2019-4-13','2019-4-27',3,4,2'
70252,'2019-5-11','2019-5-20',1,4,0'
70253,'2019-6-2','2019-6-17',3,2,1'
70254,'2019-7-6','2019-7-24',3,0,0'
70255,'2019-8-7','2019-8-25',1,3,0'
70256,'2019-9-11','2019-9-27',4,2,2'
70257,'2019-10-11','2019-10-24',2,0,2'
70258,'2019-11-10','2019-11-15',1,3,0'
70259,'2019-12-11','2019-12-22',1,0,2'
70260,'2019-1-1','2019-1-15',1,2,1'
70261,'2019-2-2','2019-2-20',4,4,0'
70262,'2019-3-1','2019-3-17',1,1,2'
70263,'2019-4-10','2019-4-22',1,4,0'
70264,'2019-5-4','2019-5-19',4,3,2'
70265,'2019-6-7','2019-6-26',1,3,0'
70266,'2019-7-2','2019-7-22',4,0,0'
70267,'2019-8-11','2019-8-27',3,3,1'
70268,'2019-9-13','2019-9-21',2,0,0'
70269,'2019-10-1','2019-10-15',3,0,2'
70270,'2019-11-11','2019-11-22',3,2,0'
70271,'2019-12-6','2019-12-24',2,1,2'
70272,'2019-1-9','2019-1-15',2,0,1'
70273,'2019-2-7','2019-2-23',4,1,0'
70274,'2019-3-8','2019-3-28',1,0,2'
70275,'2019-4-14','2019-4-22',1,0,2'
70276,'2019-5-11','2019-5-21',3,0,2'
70277,'2019-6-8','2019-6-20',3,1,2'
70278,'2019-7-14','2019-7-27',2,3,0'
70279,'2019-8-13','2019-8-15',1,1,2'
70280,'2019-9-5','2019-9-27',3,1,0'
70281,'2019-10-6','2019-10-15',1,4,1'
70282,'2019-11-10','2019-11-15',2,1,1'
70283,'2019-12-12','2019-12-23',3,4,2'
70284,'2019-1-7','2019-1-27',4,4,1'
70285,'2019-2-4','2019-2-15',3,4,0'
70286,'2019-3-6','2019-3-18',2,3,1'
70287,'2019-4-3','2019-4-23',1,0,1'
70288,'2019-5-2','2019-5-24',3,3,1'
70289,'2019-6-7','2019-6-25',2,0,0'
70290,'2019-7-7','2019-7-15',3,0,2'
70291,'2019-8-8','2019-8-28',3,0,1'
70292,'2019-9-4','2019-9-28',3,0,0'
70293,'2019-10-3','2019-10-20',3,4,2'
70294,'2019-11-10','2019-11-21',4,2,0'
70295,'2019-12-8','2019-12-25',1,0,2'
70296,'2019-1-10','2019-1-24',4,2,0'
70297,'2019-2-14','2019-2-28',2,1,2'
70298,'2019-3-6','2019-3-17',1,2,0'
70299,'2019-4-8','2019-4-28',4,3,1'
70300,'2019-5-7','2019-5-20',3,3,0'
70301,'2019-6-7','2019-6-21',3,3,1'
70302,'2019-7-8','2019-7-23',1,3,2'
70303,'2019-8-5','2019-8-16',1,3,0'
70304,'2019-9-5','2019-9-27',2,4,1'
70305,'2019-10-9','2019-10-23',4,0,0'
70306,'2019-11-13','2019-11-27',2,0,0'
70307,'2019-12-1','2019-12-15',4,4,1'
70308,'2019-1-10','2019-1-22',4,2,2'
70309,'2019-2-8','2019-2-20',1,0,1'
70310,'2019-3-13','2019-3-24',3,1,2'
70311,'2019-4-14','2019-4-20',3,2,1'
70312,'2019-5-5','2019-5-22',1,2,0'
70313,'2019-6-8','2019-6-26',4,3,2'
70314,'2019-7-13','2019-7-28',3,2,1'
70315,'2019-8-3','2019-8-20',2,3,1'
70316,'2019-9-3','2019-9-19',1,4,2'
70317,'2019-10-4','2019-10-16',3,0,0'
70318,'2019-11-9','2019-11-25',1,1,2'
70319,'2019-12-3','2019-12-28',4,2,2'
70320,'2019-1-4','2019-1-16',4,4,0'
70321,'2019-2-9','2019-2-17',2,0,2'
70322,'2019-3-8','2019-3-23',3,4,1'
70323,'2019-4-9','2019-4-24',2,1,0'
70324,'2019-5-14','2019-5-24',4,2,1'
70325,'2019-6-3','2019-6-17',2,0,2'
70326,'2019-7-4','2019-7-22',3,2,1'
70327,'2019-8-1','2019-8-22',2,3,1'
70328,'2019-9-11','2019-9-19',3,1,1'
70329,'2019-10-7','2019-10-16',3,1,2'
70330,'2019-11-1','2019-11-28',1,3,2'
70331,'2019-12-14','2019-12-28',4,4,2'
70332,'2019-1-8','2019-1-21',3,0,0'
70333,'2019-2-2','2019-2-25',2,0,2'
70334,'2019-3-3','2019-3-22',1,0,0'
70335,'2019-4-2','2019-4-19',2,2,2'
70336,'2019-5-2','2019-5-19',3,2,0'
70337,'2019-6-11','2019-6-22',3,1,2'
70338,'2019-7-12','2019-7-26',3,1,2'
70339,'2019-8-8','2019-8-22',3,4,1'
70340,'2019-9-2','2019-9-24',4,4,2'
70341,'2019-10-2','2019-10-27',4,4,1'
70342,'2019-11-5','2019-11-23',2,2,1'
70343,'2019-12-13','2019-12-25',1,4,0'
70344,'2019-1-9','2019-1-25',4,2,1'
70345,'2019-2-11','2019-2-27',2,1,1'
70346,'2019-3-11','2019-3-28',3,0,2'
70347,'2019-4-10','2019-4-23',3,2,1'
70348,'2019-5-10','2019-5-19',2,0,2'
70349,'2019-6-3','2019-6-28',1,4,0'
70350,'2019-7-1','2019-7-28',3,3,0'
70351,'2019-8-7','2019-8-28',1,3,0'
70352,'2019-9-7','2019-9-26',4,1,2'
70353,'2019-10-3','2019-10-15',1,1,1'
70354,'2019-11-4','2019-11-25',3,1,1'
70355,'2019-12-14','2019-12-17',3,2,1'
70356,'2019-1-10','2019-1-19',4,3,1'
70357,'2019-2-7','2019-2-18',2,2,2'
70358,'2019-3-8','2019-3-24',1,1,2'
70359,'2019-4-11','2019-4-25',2,2,0'
70360,'2019-5-4','2019-5-19',4,0,1'
70361,'2019-6-6','2019-6-19',2,4,1'
70362,'2019-7-4','2019-7-15',2,4,1'
70363,'2019-8-3','2019-8-15',2,0,0'
70364,'2019-9-3','2019-9-16',3,2,1'
70365,'2019-10-11','2019-10-23',3,4,0'
70366,'2019-11-5','2019-11-27',2,1,0'
70367,'2019-12-13','2019-12-21',1,4,1'
70368,'2019-1-8','2019-1-16',3,4,1'
70369,'2019-2-8','2019-2-21',4,1,0'
70370,'2019-3-14','2019-3-17',1,2,0'
70371,'2019-4-11','2019-4-23',2,2,1'
70372,'2019-5-10','2019-5-20',2,2,0'
70373,'2019-6-9','2019-6-25',1,2,1'
70374,'2019-7-6','2019-7-26',4,2,0'
70375,'2019-8-5','2019-8-23',3,2,1'
70376,'2019-9-2','2019-9-17',2,0,2'
70377,'2019-10-7','2019-10-17',2,1,0'
70378,'2019-11-2','2019-11-18',2,4,0'
70379,'2019-12-14','2019-12-27',1,3,0'
70380,'2019-1-9','2019-1-20',2,4,2'
70381,'2019-2-5','2019-2-26',2,0,2'
70382,'2019-3-2','2019-3-19',1,3,2'
70383,'2019-4-3','2019-4-15',3,1,0'
70384,'2019-5-6','2019-5-16',3,1,1'
70385,'2019-6-7','2019-6-21',3,0,2'
70386,'2019-7-9','2019-7-28',2,4,2'
70387,'2019-8-11','2019-8-19',1,2,1'
70388,'2019-9-10','2019-9-17',2,2,2'
70389,'2019-10-4','2019-10-21',1,1,1'
70390,'2019-11-1','2019-11-27',2,3,0'
70391,'2019-12-11','2019-12-17',3,3,0'
70392,'2019-1-11','2019-1-20',3,1,0'
70393,'2019-2-6','2019-2-16',2,0,0'
70394,'2019-3-5','2019-3-28',3,1,0'
70395,'2019-4-4','2019-4-26',1,0,0'
70396,'2019-5-8','2019-5-19',4,2,1'
70397,'2019-6-11','2019-6-26',4,0,1'
70398,'2019-7-12','2019-7-20',3,0,1'
70399,'2019-8-1','2019-8-23',1,3,1'
70400,'2019-9-2','2019-9-26',3,3,1'
70401,'2019-10-5','2019-10-15',2,4,0'
70402,'2019-11-14','2019-11-19',2,0,2'
70403,'2019-12-2','2019-12-21',4,3,1'
70404,'2019-1-6','2019-1-24',1,1,0'
70405,'2019-2-13','2019-2-20',2,0,1'
70406,'2019-3-9','2019-3-24',1,3,1'
70407,'2019-4-7','2019-4-19',2,2,1'
70408,'2019-5-10','2019-5-28',2,3,1'
70409,'2019-6-3','2019-6-22',4,2,2'
70410,'2019-7-2','2019-7-21',1,3,1'
70411,'2019-8-1','2019-8-15',2,1,0'
70412,'2019-9-10','2019-9-22',2,2,1'
70413,'2019-10-4','2019-10-17',2,2,0'
70414,'2019-11-8','2019-11-19',1,4,0'
70415,'2019-12-5','2019-12-21',1,0,2'
70416,'2019-1-5','2019-1-17',4,4,0'
70417,'2019-2-7','2019-2-16',3,2,1'
70418,'2019-3-13','2019-3-23',1,1,1'
70419,'2019-4-14','2019-4-19',1,0,0'
70420,'2019-5-3','2019-5-23',2,4,0'
70421,'2019-6-14','2019-6-25',1,1,0'
70422,'2019-7-3','2019-7-16',4,1,1'
70423,'2019-8-3','2019-8-19',1,2,2'
70424,'2019-9-4','2019-9-20',3,0,1'
70425,'2019-10-14','2019-10-23',3,1,0'
70426,'2019-11-11','2019-11-26',1,3,1'
70427,'2019-12-12','2019-12-18',2,4,0'
70428,'2019-1-12','2019-1-19',1,2,2'
70429,'2019-2-2','2019-2-25',2,1,1'
70430,'2019-3-12','2019-3-27',2,1,2'
70431,'2019-4-11','2019-4-20',1,0,0'
70432,'2019-5-10','2019-5-26',3,4,2'
70433,'2019-6-6','2019-6-20',3,4,2'
70434,'2019-7-12','2019-7-19',1,1,1'
70435,'2019-8-12','2019-8-25',4,1,0'
70436,'2019-9-12','2019-9-27',2,0,0'
70437,'2019-10-8','2019-10-24',2,1,0'
70438,'2019-11-6','2019-11-22',2,3,2'
70439,'2019-12-13','2019-12-15',2,0,0'
70440,'2019-1-2','2019-1-28',3,0,1'
70441,'2019-2-7','2019-2-25',4,4,2'
