'roomId','roomName','price','reviewSummary','type','location','reviewNum','monthMin'
1,'1-Aletha Ryan',101,'3.5','Entire Home','Los Angeles',44,false'
2,'2-Nickolas Rice',154,'3.0','Entire Home','Boston',25,false'
3,'3-Jackson Grant',147,'2.8','Entire Home','New York',71,true'
4,'4-Mara Lueilwitz',134,'4.3','Private Room','Los Angeles',39,false'
5,'5-Garth Hermann',198,'1.1','Shared Room','Los Angeles',48,false'
6,'6-Trace Murazik',141,'0.1','Entire Home','Los Angeles',68,true'
7,'7-Maria Conroy',102,'3.8','Private Room','Houston',60,true'
8,'8-Clement Beier',172,'0.6','Shared Room','Seattle',17,true'
9,'9-Kaley Bode',98,'2.2','Shared Room','San Francisco',71,false'
10,'10-Raven Romaguera Jr.',97,'4.8','Private Room','Los Angeles',76,false'
11,'11-Jacquelyn Roob',148,'4.5','Shared Room','Paris',7,true'
12,'12-Mr. Zechariah Kautzer',108,'3.4','Entire Home','Austin',85,true'
13,'13-Wyman Kihn',184,'1.5','Private Room','Houston',14,true'
14,'14-Elfrieda Rath',86,'0.3','Shared Room','Seattle',85,false'
15,'15-Nels Hudson MD',184,'3.2','Private Room','Seattle',40,false'
16,'16-Bradford Thompson',183,'1.5','Entire Home','Austin',97,false'
17,'17-Bradly White',71,'1.7','Private Room','Paris',59,true'
18,'18-Carlie Graham',59,'3.7','Entire Home','Austin',0,false'
19,'19-Nicholaus Sporer',56,'3.0','Shared Room','Seattle',96,true'
20,'20-Tressie Casper',95,'1.4','Private Room','New York',83,false'
21,'21-Else Yundt',96,'0.9','Entire Home','Boston',58,true'
22,'22-Ernie Feest',183,'3.9','Private Room','New York',100,false'
23,'23-Holden Ritchie II',75,'4.6','Entire Home','Boston',79,true'
24,'24-Allan Ledner',137,'5.0','Entire Home','Houston',11,true'
25,'25-Providenci Sanford',95,'4.9','Shared Room','New York',32,true'
26,'26-Nova Predovic',126,'2.5','Entire Home','New York',8,true'
27,'27-Jeanne Lakin',62,'0.8','Entire Home','Austin',118,false'
28,'28-Mr. Houston Howell',187,'0.8','Private Room','Boston',45,false'
29,'29-John Marks',199,'1.3','Private Room','Boston',45,true'
30,'30-Pasquale Rippin Sr.',83,'5.0','Shared Room','Paris',115,true'
31,'31-Loren Gutmann',149,'1.7','Private Room','Seattle',10,true'
32,'32-Angelina Lockman',179,'2.6','Entire Home','Boston',72,true'
33,'33-Bennett Shields',69,'0.8','Entire Home','San Francisco',41,false'
34,'34-Idella Jaskolski',136,'0.7','Shared Room','New York',16,false'
35,'35-Ola DuBuque',133,'1.6','Entire Home','Houston',48,true'
36,'36-Elaina Murray I',165,'2.7','Private Room','Seattle',59,true'
37,'37-Jerel Klocko',167,'3.3','Private Room','Houston',32,true'
38,'38-Eudora Lubowitz',115,'0.6','Entire Home','New York',18,true'
39,'39-Lorena Ward',95,'4.8','Entire Home','Los Angeles',47,true'
40,'40-Joshuah Bartoletti',76,'2.8','Entire Home','San Francisco',49,true'
41,'41-Tara Kessler',131,'4.7','Shared Room','Boston',108,true'
42,'42-Sadie Ziemann',167,'0.5','Shared Room','Austin',92,true'
43,'43-Korey Schimmel',99,'3.4','Private Room','Houston',109,false'
44,'44-Vella Torp',64,'4.8','Private Room','Houston',92,true'
45,'45-Valentine Sawayn',106,'4.6','Entire Home','Austin',39,true'
46,'46-Velda Nolan',95,'0.7','Shared Room','Houston',57,true'
47,'47-Fae Larkin',166,'1.5','Entire Home','Seattle',105,true'
48,'48-Miss Henri Powlowski',52,'1.3','Private Room','Houston',102,true'
49,'49-Arden Roberts',146,'2.3','Shared Room','San Francisco',3,false'
50,'50-Jarret Blick',169,'1.1','Entire Home','Los Angeles',12,true'
51,'51-Ellis Nicolas',142,'4.2','Private Room','Boston',65,true'
52,'52-Nolan Walter',172,'4.3','Entire Home','Austin',46,true'
53,'53-Marianne Ward DVM',77,'0.6','Shared Room','Seattle',75,false'
